quote,author,book,parPage,ID,tags,yellowParts,stars,favorite,dateinsert,original,fileUrl,vydal,folder,sourceUrl,
"""Pravdou je, že celý svět je vědomí, nic jiného. Neboť vědomí je samostatná absolutní realita, nic jiného. A absolutní realita je čisté vědomí, nic jiného. A tím jsi ty.""

~ Robert Adams (americký mystik Advaita 20. století)",Adams Robert,,,13,,,,,2023-06-14.,,,,,fb:Rober Adams,
"Vy a vaše já jste vesmír. Vy jste celý vesmír. Jsi já, všudypřítomný, všeprostupující. Toto je vaše skutečná přirozenost. Když to jen letmo zahlédnete, jak se můžete něčeho bát? Pokud se naučíte žít v přítomnosti a stanete se spontánními, zapomenete na minulost, nebudete se zabývat budoucností, ale pochopíte, kdo jste právě teď, nevidíte, že tohle se postará o všechno?
Robert Adams 🌞🌹🎋",Adams Robert,,,14,ted#spontanni#prirozene,,,,2023-06-14.,,,,,fb:Rober Adams,
"Buď v klidu, příteli, je to jen sen!
~Robert Adams",Adams Robert,,,15,klid sen#**,,,,2023-06-14.,,,,,fb:Rober Adams,
"Existuje místo, které je za hranicemi špatného a dobrého,
správné a špatné, radost a smutek. Tamto místo
je tam, kde jsi teď. Probuďte se k tomu.
~Robert Adams",Adams Robert,,,16,tady#ted#uprostred,,,,2023-06-14.,,,,,fb:Rober Adams,
Mluví Robert Adams o astrálních světech nebo o kauzální rovině?,Adams Robert,,,17,,,,,2023-06-14.,,,,,fb:Rober Adams,
"""Všichni bohové, ke kterým ses celý život modlil, všichni Buddhové, ke kterým jsi se uchýlil, Krišnové, Šivové, Kristus, Alláh, ti všichni jsou uvnitř tebe. To jsi ty! není žádný Bůh, který by byl pro vás vnější. Není žádný Buddha a Bůh a vy. Existuje pouze jedno Já a tím jste vy. Přemýšlejte o tom.
Toto poznání vám okamžitě přináší věčné nekonečné štěstí. Když začnete chápat, kdo jste, svou božskou přirozenost, že nejste tělo, nejste mysl, jakmile pochopíte svou nekonečnou přirozenost, kdo skutečně jste a že neexistuje nic jiného, ​​okamžitě se stanete šťastnými. . Neboť štěstí je vaší přirozeností. Štěstí a Já jsou synonyma. Vědomí, absolutní realita, čisté vědomí, to vše jsou synonyma. Existuje pouze jeden s mnoha jmény. Ale ten prostupuje celým prostorem a časem. To je jediná existence a tím jsi ty. Žádná jiná existence neexistuje. Probuďte se této pravdě. Jsi jediný a jsi vědomí.
Uvědomujete si důsledky?
Toto myslel Mojžíš ve starém zákoně, když řekl: ""Země, na které stojím, je svatá půda."" Všechno je Brahman. Všechno je Bůh, abych tak řekl, všechno. Nic není vyloučeno. Když to opravdu pochopíte, budete mít úctu ke všemu životu, ke všemu. Ctíte zvířata, zeleninu, minerály, lidské bytosti, astrální těla, kauzální těla. Vše, co existuje, je Brahman. To je nádherné. Jaký pokoj ti to dává, jakou radost ti to dává.""

~ Robert Adams",Adams Robert,,,18,sounalezitost#vnejsi Buh#nejsem telo#nejsem mysl#Jeden v mnoha#buh ve vsem#pokoj,,,,2023-06-14.,,,,,fb:Rober Adams,
"Čím více budete člověkem, tím více budete říkat: ""Když se o tyhle věci nepostarám já, kdo se o to postará?"" O čem to mluvíš? Existuje pouze jedno Já, a to je vědomí. Pokuste se prosadit svou tlustou lebku, že mocnosti se umí postarat o všechny vaše potřeby a co nejhojněji je naplnit. Je tu něco, co na tobě záleží, velká záhada. Něco tě miluje, když svou nafoukanou nicotu seženeš z cesty. Dokud věříte, že musíte vyřešit problém, budete muset vyřešit problém. Něco se o vás postará.

Dejte první věci na první místo. A první věc, kterou si musíte zapamatovat, je, že jste čisté vědomí. To si můžeš říct. Jsem čisté vědomí. Jistě to dělá mysl, ale je tu něco, co mysl uchopí a zničí, když se změníš na Já. To jsou věci, na které byste měli myslet. Vím, že to zní divně, když to říkám, ale nezajímejte se o svět. Svět tu byl se všemi svými ničivými mechanismy, než jste přišli na scénu. Bude to tady, až odejdete.
Robert Adams 😊😘",Adams Robert,,,19,probuzeni#odstup od sveta,,,,2023-06-14.,,,,,fb:Rober Adams,
"Když zachytíte své probuzení, svět se nezmění. Jen to vidíš jinak, to je vše. Získáte pocit nesmrtelnosti. Pocit božské blaženosti, abych tak řekl, když už vás věci nemají moc ovlivnit. ~Robert Adams",Adams Robert,,,20,probuzeni#odstup od sveta,,,,2023-06-14.,,,,,fb:Rober Adams,
"✨
🔥 Bůh je ve tvém srdci
Vždy tě volá, ale abys Ho slyšel,
Musíš se rozmyslet.
♥️ Robert Adams
🙇‍♂️",Adams Robert,,,21,vola#hlucni,,,,2023-06-14.,,,,,fb:Rober Adams,
"✨
🔥 O jakém ""já"" to mluvíš?

Existuje pouze jedno Já, a to je Vědomí.

Pokuste se prosadit svou tlustou lebku, že mocnosti se umí postarat o všechny vaše potřeby a co nejhojněji je naplnit.

Je tu něco, co na tobě záleží, velká záhada.

Něco tě miluje, když svou nafoukanou nicotu seženeš z cesty.

♥️ Robert Adams
🙇‍♂️",Adams Robert,,,22,nafoukana nicota,,,,2023-06-14.,,,,,fb:Rober Adams,
"Nezaměřujte svou pozornost příliš na své tělo, na svou práci, na svůj domov nebo na cokoli jiného, ​​co souvisí s osobním Já, ale pozvedněte své myšlenky. Vaše mysl automaticky spočine v srdci, úplně sama, a budete neustále prožívat blaženost. O těchto věcech opravdu nemusíte přemýšlet. Jednoduše si musíte pamatovat. Neboť když vyslovíte: „Já jsem vědomí“, mluvíte o sobě pravdu. Když říkáte, že jsem John, nebo Mary, nebo Jim nebo Henrietta, lžete o sobě. A lež vás táhne hlouběji, hlouběji, hlouběji do materiálnosti. Ale když řeknete: ""Já jsem vědomí,"" a chvíli o tom přemýšlíte, najednou se začnete cítit dobře, bez důvodu. Právě jste zbankrotovali, ale cítíte se dobře. Zemřel člen rodiny, cítíte se dobře. Prostě se cítíte dobře.
Neříkám, že ze sebe děláte hlupáka a říkáte: ""Je mi jedno, co se děje."" Když se cítíte dobře, jak popisuji, duchovně dobře, máte velký soucit se všemi, se vším. Rozdáváte láskyplnou laskavost všemu, lidem, zvířatům, zelenině, minerálům. Všechno je to stejné. Všechno je to vědomí. A nakonec vám dojde, že existuje celý vesmír, který není nikdo jiný než já. Já Jsem je vesmír. Proto od té chvíle, kdy k vám toto uvědomění přichází, chápete, že cokoliv dáváte mimo sebe, dáváte sami sobě. Pokud rozdáváte nenávist, nenávidíte sami sebe. Pokud rozdáváte lásku, milujete sami sebe. Když teď mluvíme jako člověk, který se teprve začíná odvíjet, jakmile se úplně probudíte, není už žádná nenávist, není už žádná láska, není už přemýšlení o dávání nebo přijímání.
Jiní nejsou. Stanete se jen mlčením. Ale na cestě k tomu vidíte znamení. Všimnete si, že se stáváte laskavější, láskyplnější a soucitnější. Takže když zemře člen rodiny, máte velký soucit, velkou lásku a pomáháte trpícím členům rodiny. Neříkáte: ""Je mi to jedno."" Mnoho lidí bere toto učení špatným způsobem. Domnívají se, že by je to nemělo zajímat, postoj „je mi to jedno“, ale to je špatně. Prostě rozumíš. Dáváte ze sebe úplně, jednoduše proto, že jste Já všech. Je jen jedno Já. To Já je vědomí, čisté vědomí, blaženost.
Robert Adams",Adams Robert,,,23,neosobni#blazenost#Ja jsem To#obviněn#ilusivni ja#soucit#jini nejsou#jsem Vesmir#laskavejsi,,,,2023-06-14.,,,,,fb:Rober Adams,
"# Byl jsem u mnoha učitelů, u mnoha svatých, u mnoha mudrců.

Byl jsem s Nisargadattou, Anandamayi Ma, Papa Ramdas, Neem Karoli Baba a mnoha dalšími, ale nikdy jsem nepotkal nikoho, kdo by vyzařoval takový soucit, takovou lásku, takovou blaženost jako Ramana Maharshi.

Když bylo Ramanovi šestnáct let, žil se svým strýcem. Najednou se mu to nějak zatočilo hlavou, vešel do pokoje svého strýce a myslel si, že zemře, ale nebál se. Vítal smrt, takříkajíc. Lehl si na zem a zkřížil ruce na hrudi, klesl mu krevní tlak a měl pocit, že umírá, opouští své tělo. A řekl si: ""Jestli je to tak, umírat, není to špatné."", ale místo toho, aby zemřel, byl pohlcen absolutní realitou, vědomím.

Neplul vesmírem. Nebyl ve vesmíru, vesmír byl v něm. On byl vesmír. Byl zdrojem všech jevů. Měl toto uvědomění. Jeho podstatou byly stromy, hory, lidé, zvířata, všechno. Čisté vědomí. Byl si zároveň naprosto všeho vědom, vševědoucnost.

Měl jsem podobnou zkušenost, když mi bylo čtrnáct let, ale je jiné být vychován v New Yorku a mít duchovní zkušenost. V Indii si uvědomují, co to je. V New Yorku vás chtějí umístit na psychiatrické oddělení.

Ze všech mudrců, které jsem na svých cestách potkal, Anandamayi Ma, Swami Ramdas, Neem Karoli Baba, Nisargadatta Maharaj a mnoho dalších neznámých, je Ramana ta nejčistší duše, jakou jsem kdy potkal.""

~ Robert Adams",Adams Robert,,,24,soucit#laska#blazenost#Ramana#samadhi#*,,,,2023-06-14.,,,,,fb:Rober Adams,
"Když zachytíte své probuzení, svět se nezmění. Prostě to vidíš jinak, to je vše. Získáte pocit nesmrtelnosti. Pocit božské blaženosti, abych tak řekl, když věci již nemají sílu vás ovlivnit. ~Robert Adams",Adams Robert,,,25,probuzení#blazenost#nad udalostmi,,,,2023-06-15.,,,,,fb:Rober Adams,
"Pokud například něčí tělo vyžaduje nějakou formu léku, jako to udělal Robert sám na svou Parkinsonovu chorobu, proč je vůbec dávat? Jaký má smysl prodlužovat jeho pobyt? KDO tento lék dostává? Chápu, že tělo nemůže a neříká „já“, to může udělat pouze ego, ale přesto jen myšlenka „já“ může podat lék..? Jakýkoli příspěvek by byl velmi oceněn 🙏",Adams Robert,,,26,prodluzovani zivota,,,,2023-06-15.,,,,,fb:Rober Adams,
"Když říkám, že splynete se svým vědomím, nemyslím tím, že existuje vědomí a jste vy. Chci říct, že se opravdu probudíš k sobě. Probudíte se do své pravé přirozenosti. Někde se neskrývá vědomí a vy ho musíte najít. Vědomí jste vy. Jednoduše přestaňte přemýšlet. Uklidněte svou mysl a začnete zářit. Neplánujte věci. Zapomeňte na góly. Zapomeňte na touhy. Jednoduše pracujte na zklidnění své mysli. A jak se budete rozvíjet, zjistíte, že se to pro vás zlepšuje. Život se zdá být jasnější, harmoničtější, láskyplnější. Děje se to samo od sebe. Musíte pouze zpomalit své myšlenky.

Vidíte rozdíl mezi tímto a psychologií? Nesnažíte se vyřešit své problémy. Nesnažíte se přijít na to, proč se něco ve vašem životě stalo. Jdete na druhou stranu. Snažíš se být tichý, klidný, beze slov, bez myšlenek. Tehdy se dějí věci. Musíte se rozhodnout, kterým směrem se chcete vydat, a uvědomit si, že čím více budete hovorní, tím méně se probudíte, protože řeč je součástí relativního světa. Hlas vám byl dán, abyste vyjádřili hmotný svět. Když ztišíte svůj hlas, když ztichnete, realita začne zářit sama od sebe.
Robert Adams ☺️💕",Adams Robert,,,27,probuzeni#prestat cerit#zklidneni#laskyplnejsi#neres proc se deje#ztiseni#*,,,,2023-06-15.,,,,,fb:Rober Adams,
"Robert Adams mluví:
Všichni jsme se narodili, abychom tak říkajíc zemřeli. Nikdo nebude trvat věčně.
Cokoli nashromáždíte, cokoliv v tomto životě uděláte, nebudete si moci vzít s sebou.
Tak proč hledáte věci, které si nemůžete vzít s sebou?
Dává to smysl? Nemůžete s sebou vzít určité lidi. Nemůžete si s sebou vzít pohovku nebo dům. Nemůžete si vzít auto s sebou. Ani své tělo si s sebou nemůžete vzít! Všechno zůstalo pozadu!
Většina z nás však na tyto věci nikdy nechce myslet. Nechceme si myslet, že po sobě něco zanecháme. Věříme, že budeme žít věčně. To je ale vtip!
A přesto je ve vás esence, RADOST uvnitř, která NIKDY neumírá, která žije věčně.
Co je to, co zůstane navždy? ZJISTIT TO!
Neřeknu ti to. Nebudu vám kazit zábavu!

Nejsi tím, kým si myslíš, že jsi. Nejste tím, čím se zdáte být. Zapomeňte na všechny své problémy, všechny své radosti, všechny své smutky. Zapomeňte na všechny ty věci.
Nemohou pro vás ani pro vás udělat absolutně nic. Přestaň myslet! Uklidněte svou mysl. Zůstaň v klidu, uklidni se. Pak ucítíte Přítomnost. Pak ucítíte Sílu.",Adams Robert,,,28,materialni pouta#uklidni se#blaho#odhod starosti#*,,,,2023-06-16.,,,,,fb:Rober Adams,
"Když říkám, že splynete se svým vědomím, nemyslím tím, že existuje vědomí a jste vy. Chci říct, že se opravdu probudíš k sobě. Probudíte se do své pravé přirozenosti. Někde se neskrývá vědomí a vy ho musíte najít. Vědomí jste vy. Jednoduše přestaňte přemýšlet. Uklidněte svou mysl a začnete zářit. Neplánujte věci. Zapomeňte na góly. Zapomeňte na touhy. Jednoduše pracujte na zklidnění své mysli. A jak se budete rozvíjet, zjistíte, že se to pro vás zlepšuje. Život se zdá být jasnější, harmoničtější, láskyplnější. Děje se to samo od sebe. Musíte pouze zpomalit své myšlenky.

Vidíte rozdíl mezi tímto a psychologií? Nesnažíte se vyřešit své problémy. Nesnažíte se přijít na to, proč se něco ve vašem životě stalo. Jdete na druhou stranu. Snažíš se být tichý, klidný, beze slov, bez myšlenek. Tehdy se dějí věci. Musíte se rozhodnout, kterým směrem se chcete vydat, a uvědomit si, že čím více budete hovorní, tím méně se probudíte, protože řeč je součástí relativního světa. Hlas vám byl dán, abyste vyjádřili hmotný svět. Když ztišíte svůj hlas, když ztichnete, realita začne zářit sama od sebe.
Robert Adams ☺️💕",Adams Robert,,,29,zklidneni#zlepseni#pustit#mluveni#roztekanost#*#splynout,,,,2023-06-16.,,,,,fb:Rober Adams,
"*** Zkontrolujte prosím komentáře ***
.
""Pokračujte v otázce: 'Kdo jsem? Kdo jsem já, kdo se trápí nebo přemýšlí, kdo se trápí, kdo je rozrušený, vždy věří, že se stane něco hrozného? Kdo je tato osoba? Odkud pochází tato osoba, která takto uvažuje? '

Tato osoba musí jít. Ocitnete se zde v těle, abych tak řekl, na této zemi, ale je to o vás pravda? Jste to opravdu vy? Zjistit. Zjistěte, kdo skutečně jste.""

~ Robert Adams (americký mystik Advaita 20. století)",Adams Robert,,,30,*#kdo jsem,,,,2023-06-16.,,,,,fb:Rober Adams,
"Není co vymýšlet a není čemu rozumět. Vy nejste osoba. Něco jako osoba neexistuje. Takzvaná osoba je pouze myšlenkou v mysli Boha. Ve skutečnosti to ani není ono. Existuje pouze čisté Vědomí, Vědomí – beztvaré, nezrozené a nehynoucí, a to jste vy. Jak to může zjevná mysl pochopit? To není možné. Konečné nikdy nemůže pochopit nekonečno. Mysl neexistuje. Hledejte zdroj mysli, zdroj „já-myšlenky“, neustálým, trpělivým sebedotazováním. Když je mysl tichá, záříš v celé své slávě. Buďte sami sebou a buďte šťastní.

~Robert Adams",Adams Robert,,,31,osoba#mysl#neskutecne,,,,2023-06-16.,,,,,fb:Rober Adams,
"KDYKOLI MÁTE PROBLÉMY!

""Můžeš říct:
""Já, tady mám zase potíže.""
Nemám ponětí, co dělat dál,
ale ty jsi opravdu já,
i když jsi 'Všichni prostupující',
Vyjadřujete se jako já!

Víš co dělat.

Proto se vám plně odevzdávám:
odevzdávám své tělo,
vzdávám se svých záležitostí,
Vzdávám se svého světa.

Nemusím si dělat starosti ani se trápit.
VY se o vše postaráte!
... A pak to prostě pustíš'.

Pokud se to naučíte jako první,
než uděláte nějakou jinou akci,
budete příjemně překvapeni, co se stane.""

~ Robert Adams ~
(Děkuji, Houry Shaghoyan)

POZNEJTE ILUZI!

„Až si to začnete uvědomovat, vaše mysl
 neexistuje, pak život, kterým jste byli
 následující se stává neplatným.

Jen se rozplyne,
... jako by ses probudil ze snu.“

~ Robert Adams ~",Adams Robert,,,32,starosti#pustit,,,,2023-06-16.,,,,,fb:Rober Adams,
"Pomáhání ostatním'
Můžete jim dát pouze své zkušenosti. Kde jste a co budete dělat, co děláte. Uvidíte, že jim můžete vysvětlit, co vám pomohlo. To je, pokud jde o lidi. Ale nemyslete příliš na lidi. Jděte hluboko do sebe. Ponořte se do sebe. A právě tím, že budete svým Já, budete přínosem pro ostatní. Chápeš, co tím myslím? Pokud se pokusíte lidem rozmluvit bouři a říct: ""Ne, takhle to je, měl bys to udělat takhle. Měl bys to dělat takhle, tohle je způsob, jak to udělat. Dělám to roky, Přečetl jsem mnoho knih, o kterých vím, co mám dělat.""
Je lepší mlčet. Abyste se sami stali příkladem. A čím dále jdete, tím méně mluvíte. Už se nemusíte snažit, aby se lidé cítili, jako byste věděli něco důležitého. Pomůžeš jim. Jednoduše buďte sami sebou a vše se stane samo
~Robert Adams...",Adams Robert,,,33,sam sebou#prirozene#pomoc#rozmluvit bouri#*#stane se#wuvej#***,,,,2023-06-16.,,,,,fb:Rober Adams,
